"cntry","wave","node1","node2","item1","item2","sample_edge","bootstrap_mean","bootstrap_sd","ci_lower_2.5","ci_upper_97.5","ci_includes_zero","bootstrap_zero_proportion"
"BE","R10","V5","V12","imprich","ipfrule",0,0.00495771977000215,0.0149521763312363,0,0.0602243056430912,TRUE,0.888
"BE","R10","V5","V13","imprich","ipgdtim",0,0.00482986315213164,0.014727196979461,0,0.0584356575924005,TRUE,0.892
"BE","R10","V5","V14","imprich","iphlppl",0,-0.0497763843766132,0.0424103703871448,-0.124279450125595,0,TRUE,0.354
"BE","R10","V5","V15","imprich","iplylfr",0,-0.000247886722245089,0.00347427113827804,0,0,TRUE,0.994
"BE","R10","V5","V16","imprich","ipmodst",0,-0.0210983865019147,0.0271890341824901,-0.0809588543847616,0,TRUE,0.574
"BE","R10","V5","V17","imprich","iprspot",0.0573106252441545,0.0645719019770329,0.0321220664569574,0,0.115546000712684,TRUE,0.098
"BE","R10","V5","V18","imprich","ipshabt",0.109363396224839,0.107721418670398,0.0267039020811719,0.049213327958644,0.157954622249338,FALSE,0.006
"BE","R10","V5","V19","imprich","ipstrgv",0,0.000129162352328425,0.00208185359827877,0,0,TRUE,0.996
"BE","R10","V5","V20","imprich","ipsuces",0.121435397040955,0.121379458856924,0.0275409910327031,0.0671611706738791,0.1765654229641,FALSE,0
"BE","R10","V5","V21","imprich","ipudrst",0,-0.0227745115970089,0.0314014885119411,-0.0977373282369621,0,TRUE,0.606
"BE","R10","V5","V6","imprich","impsafe",0,0.0056481055084254,0.0159668452917537,0,0.0555385853959074,TRUE,0.878
"BE","R10","V5","V7","imprich","imptrad",0,-0.00031590997534377,0.00367441641139441,0,0,TRUE,0.992
"BE","R10","V5","V8","imprich","ipadvnt",0.127856787464409,0.135477854257011,0.0290511345843443,0.0812331261094324,0.195734894886071,FALSE,0.002
"BE","R10","V5","V9","imprich","ipbhprp",0,0.000101114431083955,0.00168850487834007,0,0,TRUE,0.996
"BE","R10","V6","V10","impsafe","ipcrtiv",0,-0.000930215310646433,0.00690913493420557,0,0,TRUE,0.978
"BE","R10","V6","V11","impsafe","ipeqopt",0,0.000738772562922833,0.00598109299983822,0,0,TRUE,0.984
"BE","R10","V6","V12","impsafe","ipfrule",0.0679962024572404,0.0674511427264975,0.0305075936046862,0,0.126943184813089,TRUE,0.066
"BE","R10","V6","V13","impsafe","ipgdtim",0,0.0109741341971759,0.0215906197135143,0,0.0708620343623957,TRUE,0.772
"BE","R10","V6","V14","impsafe","iphlppl",0,0.00138217330161869,0.00770901061951731,0,0.0331897560411594,TRUE,0.966
"BE","R10","V6","V15","impsafe","iplylfr",0,-0.00048965783020653,0.00559751560065931,0,0,TRUE,0.992
"BE","R10","V6","V16","impsafe","ipmodst",0.0596609099932522,0.0510117923716357,0.034218470601975,0,0.11472577259802,TRUE,0.216
"BE","R10","V6","V17","impsafe","iprspot",0.0335584588679847,0.0300438841721409,0.0293362608771383,0,0.0949893061943849,TRUE,0.406
"BE","R10","V6","V18","impsafe","ipshabt",0.0850263853209699,0.0732681799229065,0.0395359386878506,0,0.137634799312297,TRUE,0.172
"BE","R10","V6","V19","impsafe","ipstrgv",0.232663369853822,0.231345860380151,0.0296146705334044,0.171952004745058,0.290884958306596,FALSE,0
"BE","R10","V6","V20","impsafe","ipsuces",0,0.00162382599386988,0.00881815545632839,0,0.0429678689972031,TRUE,0.966
"BE","R10","V6","V21","impsafe","ipudrst",0,0,0,0,0,TRUE,1
"BE","R10","V6","V7","impsafe","imptrad",0.0466574008821325,0.0426879137638507,0.0319348477916226,0,0.0998454854013089,TRUE,0.27
"BE","R10","V6","V8","impsafe","ipadvnt",-0.121838273637925,-0.127067687807595,0.028632270025347,-0.182860702051839,-0.0713026108826451,FALSE,0.002
"BE","R10","V6","V9","impsafe","ipbhprp",0.147986080085512,0.1460508464398,0.0313446658526993,0.0823000502918678,0.208545485222515,FALSE,0
"BE","R10","V7","V10","imptrad","ipcrtiv",0,-0.000420057693567549,0.004068131745492,0,0,TRUE,0.988
"BE","R10","V7","V11","imptrad","ipeqopt",0,-0.000402249987298702,0.00388471082767173,0,0,TRUE,0.988
"BE","R10","V7","V12","imptrad","ipfrule",0.0743989997953993,0.0724392227988847,0.0320267459418144,0,0.135934327068049,TRUE,0.06
"BE","R10","V7","V13","imptrad","ipgdtim",0,-0.000161957362526429,0.00277732800330037,0,0,TRUE,0.996
"BE","R10","V7","V14","imptrad","iphlppl",0,0.00628855116359756,0.014972331500336,0,0.0506259743349986,TRUE,0.828
"BE","R10","V7","V15","imptrad","iplylfr",0.0421822973203042,0.040642573355682,0.031177427059327,0,0.0987257801567779,TRUE,0.282
"BE","R10","V7","V16","imptrad","ipmodst",0.0430088715982691,0.033842706406218,0.0306308725241063,0,0.0985568428197874,TRUE,0.36
"BE","R10","V7","V17","imptrad","iprspot",0.0436004400052339,0.0365206072350249,0.0306319948927684,0,0.096133637992336,TRUE,0.318
"BE","R10","V7","V18","imptrad","ipshabt",0,7.09483084921826e-05,0.00158645240677146,0,0,TRUE,0.998
"BE","R10","V7","V19","imptrad","ipstrgv",0.0802078430742584,0.0755339984686648,0.0318264810783462,0,0.136325490231585,TRUE,0.056
"BE","R10","V7","V20","imptrad","ipsuces",0,0,0,0,0,TRUE,1
"BE","R10","V7","V21","imptrad","ipudrst",0,-0.00039469151930581,0.00407520558546132,0,0,TRUE,0.99
"BE","R10","V7","V8","imptrad","ipadvnt",0,-0.0021076842895089,0.0106028424804556,-0.0491836621994643,0,TRUE,0.956
"BE","R10","V7","V9","imptrad","ipbhprp",0.06098584390391,0.0594383426064485,0.0342925919411794,0,0.12531079397786,TRUE,0.14
"BE","R10","V8","V10","ipadvnt","ipcrtiv",0,0.0160727243097901,0.0258311600222019,0,0.0768141166420569,TRUE,0.698
"BE","R10","V8","V11","ipadvnt","ipeqopt",0,0,0,0,0,TRUE,1
"BE","R10","V8","V12","ipadvnt","ipfrule",0,-0.000813886230781104,0.006129188251403,0,0,TRUE,0.98
"BE","R10","V8","V13","ipadvnt","ipgdtim",0,0.0229615391826261,0.0276150853910698,0,0.0868107344772277,TRUE,0.536
"BE","R10","V8","V14","ipadvnt","iphlppl",0,0,0,0,0,TRUE,1
"BE","R10","V8","V15","ipadvnt","iplylfr",0,0,0,0,0,TRUE,1
"BE","R10","V8","V16","ipadvnt","ipmodst",0,-0.00127747642348403,0.00699274846666646,-0.0331274391758634,0,TRUE,0.966
"BE","R10","V8","V17","ipadvnt","iprspot",0,0.00883842569142064,0.0193910990095637,0,0.0657682400715863,TRUE,0.808
"BE","R10","V8","V18","ipadvnt","ipshabt",0.0322101594667948,0.029436454819902,0.0313153559020906,0,0.0941464793298926,TRUE,0.47
"BE","R10","V8","V19","ipadvnt","ipstrgv",0,-6.74221232441448e-05,0.00281077456122995,0,0,TRUE,0.996
"BE","R10","V8","V20","ipadvnt","ipsuces",0.048614594779299,0.0455822697142049,0.0309003109396133,0,0.106584608208399,TRUE,0.218
"BE","R10","V8","V21","ipadvnt","ipudrst",0,0,0,0,0,TRUE,1
"BE","R10","V8","V9","ipadvnt","ipbhprp",0,-0.00873139587192204,0.0199888365850429,-0.0641904462396997,0,TRUE,0.822
"BE","R10","V9","V10","ipbhprp","ipcrtiv",0,0.00182990058351356,0.00827786291559228,0,0.0348917528986088,TRUE,0.948
"BE","R10","V9","V11","ipbhprp","ipeqopt",0,0.000128071878011785,0.00204746965285839,0,0,TRUE,0.996
"BE","R10","V9","V12","ipbhprp","ipfrule",0.132823115076127,0.137184984311521,0.0306926865745515,0.0812992296328828,0.195192414971431,FALSE,0
"BE","R10","V9","V13","ipbhprp","ipgdtim",0,0,0,0,0,TRUE,1
"BE","R10","V9","V14","ipbhprp","iphlppl",0,0.0175800054554282,0.0245289711085018,0,0.075861725786231,TRUE,0.616
"BE","R10","V9","V15","ipbhprp","iplylfr",0,0.0151249614435893,0.0224553454962436,0,0.0717971996884268,TRUE,0.65
"BE","R10","V9","V16","ipbhprp","ipmodst",0.0748450237210921,0.070874271238622,0.0297622604868353,0,0.127541487772197,TRUE,0.04
"BE","R10","V9","V17","ipbhprp","iprspot",0.145184858336063,0.148173555986083,0.0303100740250503,0.0905482815639168,0.210748861799599,FALSE,0
"BE","R10","V9","V18","ipbhprp","ipshabt",0,5.60467244886279e-05,0.00125324285872774,0,0,TRUE,0.998
"BE","R10","V9","V19","ipbhprp","ipstrgv",0.0951193414852274,0.0917211915653057,0.0333097538160059,0.0255626879575029,0.156279275093491,FALSE,0.016
"BE","R10","V9","V20","ipbhprp","ipsuces",0,-6.54508607260077e-05,0.00146352573769224,0,0,TRUE,0.998
"BE","R10","V9","V21","ipbhprp","ipudrst",0,0.00309754692734568,0.0109213343356019,0,0.0442499127562248,TRUE,0.918
